t,r,u,y
0,0,0.05,-0.0026688
0.01,0,0.043875,-0.001112
0.02,0,0.054375,-0.0031692
0.03,0,0.053571,-0.0027958
0.04,0,0.052,-0.0024464
0.05,0,0.05,-0.0017792
0.06,0,0.0555,-0.00278
0.07,0,0.054428,-0.0025417
0.08,0,0.05525,-0.0023352
0.09,0,0.054599,-0.0023128
0.1,0,0.053286,-0.0020334
0.11,0,0.052429,-0.0012073
0.12,0,0.052,-0.001112
0.13,0,0.05125,-0.00077843
0.14,0,0.057,-0.002224
0.15,0,0.05625,-0.0021128
0.16,0,0.053571,-0.0010167
0.17,0,0.055375,-0.0016124
0.18,0,0.0495,-0.00011123
0.19,0,0.051875,-0.0007228
0.2,0,0.057143,-0.0020334
0.21,0,0.057,-0.0017792
0.22,0,0.055,-0.001112
0.23,-6.00E-18,0.051333,-0.00029653
0.24,-0.0001271,0.049571,-0.00019059
0.25,-0.0004448,0.04475,0.0007228
0.26,-0.000834,0.0335,0.0024464
0.27,-0.0018904,0.039625,1.69E-17
0.28,-0.0030501,0.033143,0.00038126
0.29,-0.0042256,0.02575,0.00055599
0.3,-0.0057824,0.014,0.0013344
0.31,-0.0074504,0.00975,-0.0001112
0.32,-0.0094679,-0.0011429,-0.00012709
0.33,-0.011787,-0.015125,-0.00011121
0.34,-0.014456,-0.029,-0.0003336
0.35,-0.016847,-0.046,-5.57E-05
0.36,-0.019905,-0.062251,-0.00033357
0.37,-0.02313,-0.080001,-0.0013344
0.38,-0.026577,-0.10175,-0.001112
0.39,-0.030246,-0.1185,-0.0024464
0.4,-0.033916,-0.14575,-0.0017792
0.41,-0.038253,-0.16487,-0.0040032
0.42,-0.042534,-0.19138,-0.0045036
0.43,-0.046704,-0.207,-0.0075616
0.44,-0.051541,-0.20737,-0.014345
0.45,-0.056601,-0.2225,-0.018682
0.46,-0.061605,-0.236,-0.022685
0.47,-0.066609,-0.2885,-0.018681
0.48,-0.071613,-0.327,-0.018237
0.49,-0.077332,-0.34472,-0.02332
0.5,-0.083289,-0.3665,-0.027689
0.51,-0.088849,-0.39375,-0.030914
0.52,-0.094909,-0.40087,-0.038364
0.53,-0.10129,-0.42171,-0.04359
0.54,-0.10775,-0.435,-0.050707
0.55,-0.11387,-0.448,-0.057379
0.56,-0.1201,-0.46575,-0.063162
0.57,-0.12715,-0.484,-0.069389
0.58,-0.13411,-0.50012,-0.07595
0.59,-0.14078,-0.5135,-0.083011
0.6,-0.14745,-0.52587,-0.090572
0.61,-0.15412,-0.53588,-0.098357
0.62,-0.16191,-0.547,-0.1072
0.63,-0.16869,-0.56275,-0.11376
0.64,-0.17592,-0.5785,-0.12054
0.65,-0.18281,-0.59425,-0.12732
0.66,-0.19065,-0.59762,-0.13772
0.67,-0.19788,-0.61163,-0.14512
0.68,-0.20511,-0.6235,-0.15262
0.69,-0.21234,-0.63675,-0.15985
0.7,-0.22029,-0.65275,-0.16758
0.71,-0.22752,-0.653,-0.1777
0.72,-0.23474,-0.65625,-0.18715
0.73,-0.24197,-0.667,-0.19482
0.74,-0.24896,-0.672,-0.20372
0.75,-0.25671,-0.67888,-0.21261
0.76,-0.26393,-0.68875,-0.21995
0.77,-0.27072,-0.6855,-0.23035
0.78,-0.27806,-0.69243,-0.23867
0.79,-0.28545,-0.6925,-0.24831
0.8,-0.29223,-0.695,-0.25709
0.81,-0.29891,-0.69525,-0.26543
0.82,-0.30596,-0.702,-0.27317
0.83,-0.31292,-0.7055,-0.28089
0.84,-0.31953,-0.70512,-0.28945
0.85,-0.32582,-0.70338,-0.2979
0.86,-0.33221,-0.69837,-0.3068
0.87,-0.33894,-0.695,-0.31581
0.88,-0.34494,-0.69325,-0.32348
0.89,-0.35072,-0.6915,-0.33115
0.9,-0.35651,-0.6905,-0.33816
0.91,-0.36262,-0.67712,-0.348
0.92,-0.36802,-0.67538,-0.35478
0.93,-0.3733,-0.66975,-0.36201
0.94,-0.37847,-0.65762,-0.37046
0.95,-0.38386,-0.6535,-0.37708
0.96,-0.38853,-0.643,-0.38475
0.97,-0.3932,-0.6325,-0.39176
0.98,-0.39765,-0.624,-0.3981
0.99,-0.40165,-0.61286,-0.40458
1,-0.40582,-0.60375,-0.41049
1.01,-0.40972,-0.59125,-0.41661
1.02,-0.41316,-0.5745,-0.42384
1.03,-0.41684,-0.56714,-0.42809
1.04,-0.42011,-0.5485,-0.43479
1.05,-0.423,-0.533,-0.44035
1.06,-0.42578,-0.51825,-0.44502
1.07,-0.42847,-0.50671,-0.44906
1.08,-0.43079,-0.495,-0.45292
1.09,-0.43257,-0.4735,-0.45809
1.1,-0.43446,-0.45588,-0.46231
1.11,-0.43585,-0.43713,-0.46621
1.12,-0.43724,-0.418,-0.47015
1.13,-0.43835,-0.403,-0.47216
1.14,-0.43924,-0.388,-0.47438
1.15,-0.4398,-0.36925,-0.47727
1.16,-0.44035,-0.3385,-0.48183
1.17,-0.44035,-0.32125,-0.48328
1.18,-0.44035,-0.30563,-0.48422
1.19,-0.44035,-0.28412,-0.4865
1.2,-0.44035,-0.26171,-0.48864
1.21,-0.4408,-0.252,-0.48795
1.22,-0.44091,-0.23025,-0.48995
1.23,-0.44124,-0.212,-0.4915
1.24,-0.44162,-0.19514,-0.4922
1.25,-0.44174,-0.18113,-0.49295
1.26,-0.4423,-0.1665,-0.49339
1.27,-0.44285,-0.15087,-0.49451
1.28,-0.44341,-0.136,-0.49551
1.29,-0.44402,-0.118,-0.49684
1.3,-0.4448,-0.111,-0.49617
1.31,-0.44558,-0.10025,-0.49617
1.32,-0.44613,-0.088,-0.49684
1.33,-0.44719,-0.081874,-0.49562
1.34,-0.44802,-0.065625,-0.49729
1.35,-0.44914,-0.060375,-0.49651
1.36,-0.4502,-0.047714,-0.4976
1.37,-0.45103,-0.0405,-0.49729
1.38,-0.45214,-0.03425,-0.4974
1.39,-0.45325,-0.024,-0.49818
1.4,-0.45447,-0.02125,-0.4974
1.41,-0.45598,-0.014857,-0.49748
1.42,-0.45714,-0.0069998,-0.49806
1.43,-0.4587,-0.0063751,-0.4969
1.44,-0.45981,-0.00049993,-0.49745
1.45,-0.46132,0.0077141,-0.49837
1.46,-0.46259,0.005,-0.49729
1.47,-0.46426,0.0057501,-0.49673
1.48,-0.46571,0.01,-0.49729
1.49,-0.46729,0.0098571,-0.49684
1.5,-0.46899,0.0092501,-0.49667
1.51,-0.47065,0.015,-0.49795
1.52,-0.47232,0.015,-0.49823
1.53,-0.47399,0.017125,-0.49868
