t,r,u,y
0,0.095187,0.60337,-0.00077851
0.01,0.10497,0.63,0.0093404
0.02,0.11442,0.6635,0.016569
0.03,0.12388,0.697,0.024687
0.04,0.13366,0.72525,0.034138
0.05,0.14367,0.754,0.04359
0.06,0.15485,0.7915,0.052987
0.07,0.16541,0.82462,0.062161
0.08,0.17636,0.858,0.071502
0.09,0.18764,0.88857,0.082352
0.1,0.19972,0.9145,0.095187
0.11,0.21117,0.94,0.10697
0.12,0.22284,0.971,0.11787
0.13,0.23485,1.0011,0.12937
0.14,0.24736,1.0365,0.14117
0.15,0.25943,1.0571,0.15474
0.16,0.27166,1.0883,0.16636
0.17,0.28389,1.1123,0.17937
0.18,0.297,1.1353,0.19374
0.19,0.31003,1.161,0.20728
0.2,0.32237,1.178,0.22184
0.21,0.33516,1.201,0.23508
0.22,0.34866,1.2236,0.25017
0.23,0.36157,1.2425,0.26482
0.24,0.37435,1.2567,0.27983
0.25,0.38686,1.2718,0.29457
0.26,0.40077,1.282,0.31225
0.27,0.41344,1.293,0.32715
0.28,0.4259,1.3025,0.34272
0.29,0.43868,1.309,0.35862
0.3,0.45103,1.314,0.37452
0.31,0.46448,1.3226,0.39109
0.32,0.47671,1.3264,0.40666
0.33,0.48895,1.3334,0.42111
0.34,0.50129,1.336,0.4366
0.35,0.51397,1.3305,0.45481
0.36,0.52564,1.3302,0.46982
0.37,0.53732,1.33,0.48483
0.38,0.5492,1.3247,0.50053
0.39,0.56112,1.3284,0.51474
0.4,0.57185,1.3193,0.53037
0.41,0.58286,1.3169,0.54416
0.42,0.59342,1.3075,0.55884
0.43,0.60442,1.2986,0.57405
0.44,0.61471,1.294,0.58714
0.45,0.62461,1.2785,0.60181
0.46,0.63406,1.267,0.61494
0.47,0.64394,1.2553,0.62844
0.48,0.65297,1.2407,0.64174
0.49,0.6617,1.2267,0.65413
0.5,0.67004,1.2111,0.66609
0.51,0.67876,1.186,0.68054
0.52,0.68644,1.1713,0.69122
0.53,0.69367,1.155,0.70167
0.54,0.70056,1.1305,0.71346
0.55,0.70723,1.106,0.72458
0.56,0.71396,1.0874,0.73459
0.57,0.7198,1.0642,0.74404
0.58,0.72536,1.0415,0.75299
0.59,0.73049,1.018,0.76181
0.6,0.7357,0.987,0.77151
0.61,0.73981,0.95675,0.78029
0.62,0.74371,0.928,0.78819
0.63,0.74714,0.89771,0.79587
0.64,0.75043,0.87075,0.80175
0.65,0.75321,0.8365,0.80881
0.66,0.75549,0.80462,0.81498
0.67,0.75738,0.7705,0.82054
0.68,0.75889,0.73014,0.82714
0.69,0.75972,0.697,0.83133
0.7,0.76027,0.65325,0.83734
0.71,0.76061,0.6175,0.84089
0.72,0.76061,0.57943,0.84417
0.73,0.76061,0.54362,0.84707
0.74,0.761,0.51012,0.84979
0.75,0.76111,0.47537,0.85229
0.76,0.7615,0.445,0.85363
0.77,0.76183,0.4095,0.85624
0.78,0.76239,0.378,0.85846
0.79,0.76305,0.34825,0.85991
0.8,0.76398,0.31714,0.86158
0.81,0.76494,0.28887,0.86275
0.82,0.76561,0.26962,0.8623
0.83,0.76672,0.23737,0.86475
0.84,0.76792,0.21371,0.86526
0.85,0.76906,0.19,0.86558
0.86,0.77062,0.16675,0.86636
0.87,0.77195,0.1445,0.86714
0.88,0.77328,0.123,0.86792
0.89,0.77501,0.10825,0.86692
0.9,0.77668,0.091125,0.86692
0.91,0.77834,0.072375,0.86747
0.92,0.78001,0.059,0.86703
0.93,0.78229,0.037,0.86847
0.94,0.78418,0.023999,0.86825
0.95,0.78607,0.0155,0.86736
0.96,0.78819,0.0070001,0.86692
0.97,0.79063,-0.011875,0.86836
0.98,0.79286,-0.020625,0.86808
0.99,0.79508,-0.024875,0.86669
1,0.7973,-0.034375,0.86686
1.01,0.79981,-0.040857,0.86685
1.02,0.80242,-0.04825,0.86703
1.03,0.80509,-0.06,0.86869
1.04,0.80742,-0.0605,0.86758
1.05,0.81036,-0.067286,0.86825
1.06,0.81287,-0.076876,0.86942
1.07,0.8156,-0.0675,0.86697
1.08,0.81838,-0.07025,0.86719
1.09,0.82135,-0.062572,0.86564
1.1,0.82421,-0.063,0.86603
1.11,0.82699,-0.0625,0.86625
1.12,0.82977,-0.06,0.86625
1.13,0.83255,-0.05675,0.86625
1.14,0.83567,-0.046875,0.86525
1.15,0.83884,-0.044125,0.86603
1.16,0.84162,-0.041625,0.86686
1.17,0.8444,-0.037625,0.86736
1.18,0.84757,-0.03625,0.86869
1.19,0.85068,-0.034,0.87003
1.2,0.85346,-0.02725,0.87036
1.21,0.85624,-0.017,0.87003
1.22,0.85974,-0.017375,0.87242
1.23,0.86252,-0.011125,0.87325
1.24,0.8653,-0.0012503,0.87359
1.25,0.86808,0.0035005,0.87481
1.26,0.87098,0.013571,0.87518
1.27,0.87392,0.01525,0.8777
1.28,0.8767,0.016,0.87981
1.29,0.87948,0.033,0.87904
1.3,0.88242,0.045286,0.87937
1.31,0.88532,0.056125,0.87976
1.32,0.8881,0.076,0.87837
1.33,0.89071,0.077875,0.8812
1.34,0.89341,0.092429,0.8814
1.35,0.89583,0.101,0.88293
1.36,0.8985,0.10625,0.88504
1.37,0.90072,0.106,0.88827
1.38,0.90294,0.09975,0.89282
1.39,0.90584,0.0995,0.89577
1.4,0.90806,0.0975,0.899
1.41,0.91001,0.10625,0.89983
1.42,0.91206,0.12487,0.89866
1.43,0.9144,0.134,0.89972
1.44,0.91629,0.1325,0.90272
1.45,0.91818,0.1385,0.90406
1.46,0.91985,0.149,0.90472
1.47,0.92213,0.14375,0.9085
1.48,0.92379,0.14375,0.91101
1.49,0.92507,0.14737,0.91262
1.5,0.92669,0.14662,0.91501
1.51,0.92823,0.15057,0.91616
1.52,0.92941,0.15075,0.91818
1.53,0.93097,0.148,0.92074
1.54,0.93208,0.1495,0.92207
1.55,0.933,0.14914,0.92391
1.56,0.93397,0.14825,0.92546
1.57,0.93503,0.15275,0.92602
1.58,0.93558,0.14175,0.92958
1.59,0.93649,0.14014,0.93097
1.6,0.93719,0.139,0.93186
1.61,0.9373,0.13325,0.93397
1.62,0.93786,0.131,0.93519
1.63,0.93808,0.1235,0.93742
1.64,0.93853,0.12237,0.93775
1.65,0.93853,0.11725,0.93886
1.66,0.93853,0.11112,0.94047
1.67,0.93853,0.10575,0.94131
1.68,0.93853,0.10129,0.94202
1.69,0.93853,0.103,0.94164
1.7,0.93853,0.097,0.94275
1.71,0.93853,0.096,0.94275
1.72,0.93853,0.094572,0.94266
1.73,0.93853,0.08875,0.94364
1.74,0.93853,0.09025,0.94309
1.75,0.93853,0.08575,0.9437
1.76,0.93853,0.087143,0.94329
1.77,0.93853,0.08425,0.94364
1.78,0.93853,0.08,0.94431
1.79,0.93853,0.07875,0.94409
1.8,0.93853,0.076714,0.94425
1.81,0.93853,0.075375,0.94425
1.82,0.93853,0.083125,0.94203
1.83,0.93853,0.068875,0.94492
1.84,0.93853,0.071286,0.94393
1.85,0.93853,0.067,0.94476
1.86,0.93853,0.06625,0.94453
1.87,0.93853,0.0625,0.94476
1.88,0.93853,0.058,0.94531
1.89,0.93853,0.057625,0.94481
1.9,0.93853,0.054625,0.9452
1.91,0.93853,0.050875,0.94576
1.92,0.93853,0.046375,0.94609
1.93,0.93842,0.03975,0.9472
1.94,0.93808,0.0375,0.9472
1.95,0.93808,0.03825,0.9462
1.96,0.93808,0.038,0.94564
1.97,0.93808,0.02575,0.94798
1.98,0.93808,0.023875,0.94798
1.99,0.93808,0.026375,0.94676
2,0.93808,0.018625,0.9477
2.01,0.93808,0.019571,0.94711
