t,r,u,y
0,0.017792,1.685,-0.0026685
0.01,0.029468,1.661,0.015568
0.02,0.040922,1.64,0.032248
0.03,0.051708,1.6092,0.049929
0.04,0.061827,1.58,0.06672
0.05,0.072669,1.5505,0.083289
0.06,0.081565,1.5199,0.098579
0.07,0.089905,1.4884,0.11287
0.08,0.098237,1.4601,0.12537
0.09,0.10586,1.4135,0.14145
0.1,0.11253,1.3787,0.15357
0.11,0.11876,1.34,0.16591
0.12,0.12435,1.2973,0.17779
0.13,0.12944,1.2555,0.1886
0.14,0.1335,1.2109,0.19905
0.15,0.13683,1.1682,0.20778
0.16,0.13961,1.1222,0.21656
0.17,0.14195,1.0724,0.22494
0.18,0.14367,1.028,0.2313
0.19,0.14423,0.9795,0.23741
0.2,0.14456,0.933,0.24242
0.21,0.14456,0.87113,0.24953
0.22,0.14428,0.82363,0.25398
0.23,0.14412,0.77925,0.25687
0.24,0.14356,0.72688,0.26121
0.25,0.1424,0.68043,0.26313
0.26,0.14122,0.62925,0.26599
0.27,0.14011,0.574,0.26955
0.28,0.13889,0.53,0.27022
0.29,0.13687,0.479,0.27165
0.3,0.13494,0.42862,0.27261
0.31,0.13277,0.379,0.27339
0.32,0.13055,0.3345,0.27272
0.33,0.12785,0.28343,0.27228
0.34,0.12499,0.231,0.27222
0.35,0.1221,0.18325,0.27133
0.36,0.11898,0.133,0.27044
0.37,0.11587,0.08125,0.26988
0.38,0.11176,0.02925,0.26771
0.39,0.10825,-0.02375,0.26632
0.4,0.10436,-0.074374,0.26466
0.41,0.10047,-0.1375,0.26505
0.42,0.095632,-0.19375,0.26221
0.43,0.091184,-0.229,0.25598
0.44,0.086736,-0.25375,0.24742
0.45,0.082288,-0.299,0.24331
0.46,0.076784,-0.35025,0.23925
0.47,0.07178,-0.39212,0.23396
0.48,0.066776,-0.42613,0.22718
0.49,0.061716,-0.46163,0.22023
0.5,0.055918,-0.48943,0.21134
0.51,0.05004,-0.5155,0.20161
0.52,0.04448,-0.547,0.19438
0.53,0.038809,-0.5725,0.18582
0.54,0.032597,-0.60029,0.17684
0.55,0.02641,-0.63113,0.16891
0.56,0.020294,-0.65675,0.16002
0.57,0.014178,-0.67688,0.15051
0.58,0.0076252,-0.69857,0.1403
0.59,0.0013344,-0.723,0.13122
0.6,-0.0052263,-0.74225,0.12165
0.61,-0.011343,-0.763,0.11276
0.62,-0.017792,-0.78,0.10286
0.63,-0.025076,-0.79387,0.091184
0.64,-0.031358,-0.80888,0.081454
0.65,-0.03803,-0.82137,0.071168
0.66,-0.044313,-0.84187,0.062661
0.67,-0.051597,-0.851,0.050818
0.68,-0.058269,-0.8595,0.040032
0.69,-0.064941,-0.871,0.03058
0.7,-0.071168,-0.875,0.019571
0.71,-0.078507,-0.89,0.0097856
0.72,-0.084901,-0.89875,0.00033381
0.73,-0.091406,-0.9045,-0.0096741
0.74,-0.098023,-0.911,-0.019349
0.75,-0.1044,-0.91271,-0.030374
0.76,-0.1112,-0.9135,-0.041367
0.77,-0.11743,-0.923,-0.049373
0.78,-0.12354,-0.92325,-0.059492
0.79,-0.13001,-0.92557,-0.069135
0.8,-0.13639,-0.929,-0.078229
0.81,-0.14245,-0.92737,-0.087793
0.82,-0.14817,-0.92525,-0.097356
0.83,-0.15441,-0.92186,-0.10732
0.84,-0.16013,-0.923,-0.11565
0.85,-0.16569,-0.9185,-0.12488
0.86,-0.17125,-0.9195,-0.13233
0.87,-0.17647,-0.919,-0.13978
0.88,-0.18198,-0.9115,-0.1494
0.89,-0.18698,-0.9035,-0.15824
0.9,-0.19199,-0.89413,-0.16658
0.91,-0.1966,-0.89213,-0.17325
0.92,-0.20149,-0.87775,-0.1827
0.93,-0.20594,-0.8645,-0.19126
0.94,-0.21039,-0.8535,-0.19849
0.95,-0.21439,-0.839,-0.20639
0.96,-0.21867,-0.82687,-0.21389
0.97,-0.22229,-0.81437,-0.22057
0.98,-0.22601,-0.79525,-0.22824
0.99,-0.22935,-0.77787,-0.23513
1,-0.23244,-0.75528,-0.24286
1.01,-0.23563,-0.72925,-0.25109
1.02,-0.23841,-0.716,-0.25576
1.03,-0.24108,-0.68925,-0.26321
1.04,-0.24343,-0.66757,-0.26891
1.05,-0.24575,-0.6445,-0.27472
1.06,-0.24753,-0.6185,-0.28056
1.07,-0.24959,-0.58875,-0.28701
1.08,-0.25106,-0.56,-0.29249
1.09,-0.2522,-0.537,-0.29624
1.1,-0.25331,-0.5135,-0.2998
1.11,-0.25443,-0.4915,-0.30291
1.12,-0.2552,-0.465,-0.30669
1.13,-0.25537,-0.43463,-0.31025
1.14,-0.25576,-0.40712,-0.31331
1.15,-0.25576,-0.38133,-0.31581
1.16,-0.25576,-0.36133,-0.31655
1.17,-0.25509,-0.32825,-0.31926
1.18,-0.25376,-0.2995,-0.3207
1.19,-0.25209,-0.2715,-0.32115
1.2,-0.24953,-0.235,-0.32248
1.21,-0.24631,-0.2075,-0.3207
1.22,-0.24297,-0.17562,-0.31987
1.23,-0.23886,-0.13725,-0.31976
1.24,-0.23435,-0.10388,-0.31792
1.25,-0.22894,-0.061713,-0.31657
1.26,-0.22273,-0.0185,-0.31447
1.27,-0.21662,0.010001,-0.30914
1.28,-0.20983,0.062751,-0.30847
1.29,-0.20194,0.12214,-0.30761
1.3,-0.19382,0.18263,-0.30608
1.31,-0.18548,0.2205,-0.29968
1.32,-0.17642,0.24213,-0.28884
1.33,-0.16629,0.26829,-0.27768
1.34,-0.15612,0.337,-0.27578
1.35,-0.14601,0.39425,-0.27088
1.36,-0.13522,0.4465,-0.26421
1.37,-0.12377,0.49425,-0.25587
1.38,-0.11092,0.54813,-0.24625
1.39,-0.098912,0.5935,-0.23652
1.4,-0.086124,0.64038,-0.22624
1.41,-0.073336,0.67825,-0.21345
1.42,-0.058714,0.73025,-0.20149
1.43,-0.045147,0.7725,-0.1886
1.44,-0.030914,0.8125,-0.17503
1.45,-0.016457,0.862,-0.16324
1.46,-0.00038855,0.9075,-0.14767
1.47,0.014623,0.9525,-0.13405
1.48,0.030024,0.99925,-0.12054
1.49,0.045203,1.043,-0.10586
1.5,0.061827,1.0917,-0.090993
1.51,0.078618,1.1392,-0.074949
1.52,0.095188,1.182,-0.059158
1.53,0.11142,1.2418,-0.046815
1.54,0.12906,1.2753,-0.026815
1.55,0.14645,1.3049,-0.0063383
1.56,0.16363,1.3448,0.010453
1.57,0.1807,1.3863,0.027355
1.58,0.19889,1.4243,0.046895
1.59,0.21662,1.457,0.066276
1.6,0.23397,1.491,0.084846
1.61,0.25153,1.5185,0.10475
1.62,0.26877,1.5512,0.12365
1.63,0.28779,1.5866,0.14428
1.64,0.30541,1.6159,0.16324
1.65,0.32265,1.644,0.1827
1.66,0.33988,1.6649,0.20344
1.67,0.35884,1.6943,0.22462
1.68,0.37608,1.7185,0.24397
1.69,0.39298,1.7397,0.26399
1.7,0.41011,1.765,0.28289
1.71,0.42845,1.7776,0.30652
1.72,0.44513,1.7914,0.3271
1.73,0.46142,1.8098,0.34605
1.74,0.47755,1.8175,0.36735
1.75,0.49417,1.8367,0.38647
1.76,0.51096,1.845,0.40755
1.77,0.5262,1.845,0.42923
1.78,0.54166,1.8515,0.44836
1.79,0.55727,1.849,0.47028
1.8,0.57235,1.8425,0.49212
1.81,0.58675,1.8353,0.51241
1.82,0.60065,1.8314,0.53154
1.83,0.61522,1.8177,0.55314
1.84,0.62895,1.803,0.57335
1.85,0.64162,1.7807,0.59448
1.86,0.65386,1.759,0.61427
1.87,0.66609,1.7388,0.63273
1.88,0.67899,1.7186,0.65208
1.89,0.68994,1.6975,0.66903
1.9,0.7005,1.6756,0.68544
1.91,0.71068,1.6434,0.70362
1.92,0.72158,1.6157,0.72069
1.93,0.73081,1.586,0.73637
1.94,0.73937,1.554,0.75171
1.95,0.74771,1.524,0.76595
1.96,0.7561,1.4828,0.78213
1.97,0.76333,1.4452,0.79575
1.98,0.77017,1.4104,0.80831
1.99,0.77629,1.3696,0.82082
2,0.78209,1.3319,0.83222
2.01,0.7873,1.2927,0.8429
2.02,0.79174,1.245,0.85446
2.03,0.79564,1.2073,0.86313
2.04,0.79924,1.16,0.87263
2.05,0.80214,1.1114,0.8817
2.06,0.80437,1.0656,0.88932
2.07,0.80587,1.02,0.89577
2.08,0.80674,0.96786,0.90256
2.09,0.80731,0.914,0.90917
2.1,0.80731,0.86225,0.91462
2.11,0.80687,0.81,0.9194
2.12,0.80604,0.75243,0.92417
2.13,0.80398,0.69787,0.92663
2.14,0.80136,0.63675,0.93047
2.15,0.79803,0.58275,0.93119
2.16,0.7938,0.521,0.93275
2.17,0.78844,0.45171,0.93402
2.18,0.78285,0.386,0.93364
2.19,0.77606,0.31925,0.93286
2.2,0.76884,0.2495,0.93186
2.21,0.76023,0.17514,0.92919
2.22,0.75121,0.103,0.92591
2.23,0.74159,0.026749,0.92307
2.24,0.73158,-0.043252,0.91779
2.25,0.71969,-0.132,0.91317
2.26,0.7079,-0.2295,0.91151
2.27,0.69544,-0.309,0.90472
2.28,0.68266,-0.3555,0.88993
2.29,0.66898,-0.408,0.87581
2.3,0.65336,-0.50137,0.86719
2.31,0.63834,-0.577,0.85635
2.32,0.62294,-0.65313,0.8449
2.33,0.60658,-0.71014,0.82822
2.34,0.58847,-0.7925,0.81421
2.35,0.57146,-0.85675,0.79786
2.36,0.55333,-0.923,0.78196
2.37,0.53478,-0.98386,0.76277
2.38,0.51452,-1.0485,0.74259
2.39,0.49523,-1.1105,0.72375
2.4,0.47571,-1.1705,0.70401
2.41,0.45553,-1.2366,0.6851
2.42,0.43349,-1.3124,0.66548
2.43,0.41188,-1.379,0.64496
2.44,0.39064,-1.4383,0.62328
2.45,0.36896,-1.4955,0.6007
2.46,0.34542,-1.552,0.57455
2.47,0.32287,-1.607,0.55066
2.48,0.30024,-1.6617,0.52726
2.49,0.27772,-1.7124,0.50251
2.5,0.2522,-1.763,0.47416
2.51,0.22929,-1.8168,0.4498
2.52,0.20594,-1.864,0.42434
2.53,0.18259,-1.906,0.39787
2.54,0.15924,-1.694,0.31537
2.55,0.13311,-1.5874,0.25843
2.56,0.10948,-1.8311,0.27983
2.57,0.085957,-1.6276,0.20194
2.58,0.061763,-1.6137,0.16915
2.59,0.036029,-1.7755,0.1708
2.6,0.012343,-1.5175,0.083957
2.61,-0.01112,-1.758,0.10898
2.62,-0.035139,-1.7551,0.076442
2.63,-0.060159,-1.5705,0.0059491
2.64,-0.083123,-1.8023,0.029414
2.65,-0.10636,-1.661,-0.031637
2.66,-0.12899,-1.5346,-0.084846
2.67,-0.15314,-1.8354,-0.047276
2.68,-0.17614,-1.599,-0.1281
2.69,-0.19783,-1.6295,-0.145
2.7,-0.21951,-1.7785,-0.13833
2.71,-0.24267,-1.4893,-0.22946
2.72,-0.26404,-1.6631,-0.21311
2.73,-0.28462,-1.7659,-0.21539
2.74,-0.30491,-1.5721,-0.281
2.75,-0.32648,-1.765,-0.26199
2.76,-0.34583,-1.7177,-0.29579
2.77,-0.36474,-1.5925,-0.34383
2.78,-0.38297,-1.741,-0.33115
2.79,-0.40121,-1.629,-0.37674
2.8,-0.42,-1.6117,-0.40032
2.81,-0.43668,-1.7374,-0.39142
2.82,-0.45297,-1.6296,-0.43357
2.83,-0.46876,-1.6164,-0.453
2.84,-0.48505,-1.693,-0.45392
2.85,-0.4994,-1.6207,-0.48572
2.86,-0.5133,-1.649,-0.49373
2.87,-0.52645,-1.6624,-0.5058
2.88,-0.53988,-1.6223,-0.52876
2.89,-0.55172,-1.6268,-0.54015
2.9,-0.56278,-1.6101,-0.55589
2.91,-0.57279,-1.5848,-0.57173
2.92,-0.5832,-1.5696,-0.58536
2.93,-0.59247,-1.538,-0.60137
2.94,-0.60059,-1.4977,-0.61738
2.95,-0.60782,-1.462,-0.63139
2.96,-0.61529,-1.4064,-0.64941
2.97,-0.621,-1.3546,-0.66464
2.98,-0.626,-1.3164,-0.67548
2.99,-0.63045,-1.2651,-0.68827
3,-0.63428,-1.204,-0.70145
3.01,-0.63695,-1.1543,-0.71112
3.02,-0.63896,-1.0975,-0.72102
3.03,-0.63996,-1.0392,-0.72992
3.04,-0.64051,-0.977,-0.73881
3.05,-0.64051,-0.909,-0.7476
3.06,-0.64051,-0.84838,-0.75449
3.07,-0.64051,-0.79212,-0.76005
3.08,-0.64051,-0.73043,-0.76601
3.09,-0.64051,-0.679,-0.76995
3.1,-0.64051,-0.6265,-0.77384
3.11,-0.64051,-0.578,-0.77662
3.12,-0.64051,-0.52725,-0.77973
3.13,-0.64051,-0.46938,-0.78352
3.14,-0.64051,-0.4205,-0.78624
3.15,-0.64051,-0.37737,-0.78707
3.16,-0.64051,-0.34088,-0.78641
3.17,-0.64051,-0.29225,-0.78796
3.18,-0.64051,-0.2555,-0.78752
3.19,-0.64051,-0.21725,-0.78741
3.2,-0.64051,-0.175,-0.78819
3.21,-0.64051,-0.139,-0.78657
3.22,-0.64051,-0.104,-0.78602
3.23,-0.64051,-0.070499,-0.78513
3.24,-0.64051,-0.041001,-0.78335
3.25,-0.64051,-0.0040001,-0.78278
3.26,-0.64051,0.023002,-0.77973
3.27,-0.64051,0.0575,-0.77951
3.28,-0.64051,0.090251,-0.7784
3.29,-0.64051,0.119,-0.77707
3.3,-0.64068,0.139,-0.77295
3.31,-0.64096,0.14837,-0.76739
3.32,-0.64096,0.18025,-0.76717
3.33,-0.64102,0.20986,-0.76626
3.34,-0.6414,0.227,-0.76261
3.35,-0.6414,0.24575,-0.76005
3.36,-0.64185,0.258,-0.75616
3.37,-0.64197,0.27486,-0.75317
3.38,-0.64229,0.29012,-0.75016
3.39,-0.64268,0.2985,-0.74599
3.4,-0.64279,0.31313,-0.74365
3.41,-0.64335,0.31663,-0.73915
3.42,-0.64363,0.32386,-0.73525
3.43,-0.64407,0.334,-0.73259
3.44,-0.64452,0.34125,-0.72947
3.45,-0.64474,0.3495,-0.7268
3.46,-0.64534,0.363,-0.72509
3.47,-0.64591,0.36338,-0.72113
3.48,-0.64646,0.36713,-0.71796
3.49,-0.64674,0.37025,-0.71518
3.5,-0.64718,0.377,-0.71301
3.51,-0.64774,0.377,-0.70957
3.52,-0.6483,0.3775,-0.70679
3.53,-0.64885,0.37725,-0.70401
3.54,-0.64941,0.373,-0.70056
3.55,-0.65002,0.3765,-0.69867
3.56,-0.65085,0.37588,-0.69645
3.57,-0.65158,0.37087,-0.69339
3.58,-0.65214,0.36671,-0.69077
3.59,-0.65274,0.3585,-0.68744
3.6,-0.6533,0.358,-0.6861
3.61,-0.6543,0.347,-0.68232
3.62,-0.65487,0.34357,-0.68048
3.63,-0.65547,0.34125,-0.67921
3.64,-0.65602,0.3315,-0.67649
3.65,-0.65703,0.32862,-0.67571
3.66,-0.65758,0.31637,-0.67248
3.67,-0.65849,0.30557,-0.67006
3.68,-0.65919,0.299,-0.66853
3.69,-0.65975,0.287,-0.6662
3.7,-0.66053,0.2785,-0.66475
3.71,-0.66135,0.27214,-0.66402
3.72,-0.66197,0.25925,-0.66158
3.73,-0.66292,0.24512,-0.65947
3.74,-0.66347,0.237,-0.65864
3.75,-0.66453,0.225,-0.65741
3.76,-0.66509,0.211,-0.65564
3.77,-0.66564,0.201,-0.65452
3.78,-0.66653,0.18725,-0.65274
3.79,-0.6672,0.175,-0.65163
3.8,-0.66798,0.1635,-0.65113
3.81,-0.66881,0.15537,-0.65085
3.82,-0.66937,0.14362,-0.65002
3.83,-0.67,0.13343,-0.64954
3.84,-0.67098,0.115,-0.64785
3.85,-0.67154,0.10825,-0.64807
3.86,-0.67209,0.092,-0.64674
3.87,-0.67279,0.086428,-0.64763
3.88,-0.67371,0.078125,-0.64818
3.89,-0.67426,0.065625,-0.64735
3.9,-0.67482,0.058375,-0.64796
3.91,-0.67537,0.04625,-0.64768
3.92,-0.67597,0.035714,-0.64757
3.93,-0.67654,0.03,-0.64852
3.94,-0.6771,0.0195,-0.64863
3.95,-0.67765,0.0105,-0.64874
3.96,-0.67826,0.0051428,-0.65004
3.97,-0.67882,-0.0056247,-0.64974
3.98,-0.67938,-0.01475,-0.65013
3.99,-0.67993,-0.016625,-0.65208
4,-0.6801,-0.025,-0.65252
4.01,-0.68066,-0.0405,-0.65108
4.02,-0.68121,-0.0485,-0.65141
4.03,-0.68143,-0.05575,-0.65174
4.04,-0.68188,-0.068,-0.65119
4.05,-0.68232,-0.071125,-0.6528
4.06,-0.6826,-0.079875,-0.65308
4.07,-0.68316,-0.085375,-0.6538
4.08,-0.68328,-0.083429,-0.65621
4.09,-0.68366,-0.081,-0.65875
4.1,-0.68366,-0.07075,-0.66253
4.11,-0.6841,-0.075,-0.6632
4.12,-0.68423,-0.084715,-0.66224
4.13,-0.68455,-0.094,-0.66181
4.14,-0.68455,-0.10013,-0.66231
4.15,-0.6846,-0.0975,-0.66409
4.16,-0.68499,-0.10063,-0.66459
4.17,-0.68499,-0.105,-0.6651
4.18,-0.68499,-0.1,-0.6672
4.19,-0.68499,-0.10225,-0.66764
4.2,-0.68499,-0.096,-0.67031
4.21,-0.68483,-0.098375,-0.6707
4.22,-0.68427,-0.09275,-0.67209
4.23,-0.68293,-0.08675,-0.67287
4.24,-0.68077,-0.07925,-0.6727
4.25,-0.67807,-0.064428,-0.67349
4.26,-0.67421,-0.04975,-0.67332
4.27,-0.66987,-0.041999,-0.67076
4.28,-0.66475,-0.0095004,-0.67232
4.29,-0.65837,0.013143,-0.67063
4.3,-0.65141,0.0445,-0.66987
4.31,-0.64418,0.077624,-0.66859
4.32,-0.63623,0.11938,-0.66798
4.33,-0.62666,0.16,-0.66567
4.34,-0.61694,0.171,-0.65564
4.35,-0.60682,0.18075,-0.64563
4.36,-0.59603,0.2085,-0.63851
4.37,-0.58458,0.27075,-0.63807
