t,r,u,y
1.59,-0.60337,0.21025,-0.77651
1.6,-0.59631,0.23138,-0.76417
1.61,-0.58892,0.28528,-0.75883
1.62,-0.58024,0.36,-0.75572
1.63,-0.5719,0.415,-0.74927
1.64,-0.56312,0.472,-0.74282
1.65,-0.55384,0.52286,-0.73367
1.66,-0.54343,0.575,-0.72386
1.67,-0.53343,0.6215,-0.71363
1.68,-0.52331,0.66688,-0.70284
1.69,-0.51235,0.70863,-0.69089
1.7,-0.50072,0.753,-0.67794
1.71,-0.48883,0.8,-0.66587
1.72,-0.47716,0.85,-0.65497
1.73,-0.46526,0.8975,-0.64296
1.74,-0.4516,0.93943,-0.6278
1.75,-0.43863,0.99,-0.61549
1.76,-0.42584,1.0304,-0.6012
1.77,-0.41277,1.0698,-0.58675
1.78,-0.3981,1.118,-0.57157
1.79,-0.3842,1.1558,-0.55622
1.8,-0.3703,1.197,-0.54132
1.81,-0.35606,1.2352,-0.52575
1.82,-0.34205,1.267,-0.50885
1.83,-0.32615,1.3104,-0.49167
1.84,-0.31142,1.3404,-0.47416
1.85,-0.29679,1.3674,-0.45598
1.86,-0.28162,1.4049,-0.43978
1.87,-0.26532,1.434,-0.42011
1.88,-0.25031,1.4557,-0.40088
1.89,-0.2353,1.48,-0.38253
1.9,-0.21941,1.509,-0.36429
1.91,-0.20333,1.5346,-0.34483
1.92,-0.18793,1.5554,-0.32582
1.93,-0.1728,1.5737,-0.30697
1.94,-0.1574,1.5846,-0.28628
1.95,-0.14132,1.6004,-0.26567
1.96,-0.12543,1.617,-0.24642
1.97,-0.11042,1.6312,-0.2274
1.98,-0.095409,1.6455,-0.20883
1.99,-0.079492,1.647,-0.18612
2,-0.064385,1.6594,-0.16791
2.01,-0.049762,1.6643,-0.14823
2.02,-0.035028,1.6649,-0.12821
2.03,-0.019571,1.673,-0.10853
2.04,-0.0052261,1.6738,-0.089293
2.05,0.0086735,1.683,-0.072502
2.06,0.022573,1.6952,-0.057046
2.07,0.036028,1.679,-0.035585
2.08,0.05054,1.6626,-0.013066
2.09,0.063607,1.6489,0.0066727
2.1,0.076172,1.6347,0.026021
2.11,0.089024,1.6254,0.043209
2.12,0.10208,1.613,0.06205
2.13,0.11376,1.598,0.079508
2.14,0.12543,1.577,0.09741
2.15,0.13687,1.568,0.11266
2.16,0.14851,1.5511,0.12938
2.17,0.15907,1.5313,0.14517
2.18,0.16908,1.5096,0.1608
2.19,0.17853,1.487,0.17586
2.2,0.18866,1.4613,0.19139
2.21,0.19794,1.441,0.20461
2.22,0.20628,1.4165,0.21784
2.23,0.21439,1.3965,0.22974
2.24,0.22246,1.3634,0.24407
2.25,0.22974,1.3388,0.25526
2.26,0.23641,1.3078,0.26738
2.27,0.24281,1.2765,0.2785
2.28,0.24909,1.25,0.28823
2.29,0.25409,1.216,0.29846
2.3,0.25887,1.184,0.3078
2.31,0.26332,1.1527,0.31614
2.32,0.26732,1.112,0.32559
2.33,0.27083,1.075,0.33343
2.34,0.27361,1.04,0.34038
2.35,0.276,0.99775,0.34828
2.36,0.27775,0.95986,0.35374
2.37,0.27911,0.915,0.36029
2.38,0.28,0.86875,0.3664
2.39,0.28022,0.823,0.37185
2.4,0.28022,0.7805,0.37574
2.41,0.28022,0.7375,0.37914
2.42,0.28022,0.68362,0.38492
2.43,0.28022,0.63925,0.38853
2.44,0.28022,0.59388,0.39231
2.45,0.28022,0.54575,0.39565
2.46,0.28022,0.5035,0.3981
2.47,0.28022,0.4605,0.40054
2.48,0.28022,0.424,0.40165
2.49,0.28022,0.379,0.40366
2.5,0.28022,0.33775,0.4056
2.51,0.28022,0.29788,0.40688
2.52,0.28022,0.25963,0.40794
2.53,0.28022,0.21886,0.40947
2.54,0.28022,0.18325,0.40933
2.55,0.28022,0.153,0.40833
2.56,0.28022,0.1165,0.40899
