t,r,u,y
0,-0.050485,-1.687,0.0055596
0.01,-0.071167,-1.547,-0.048482
0.02,-0.091629,-1.7253,-0.031804
0.03,-0.11304,-1.6776,-0.067803
0.04,-0.1345,-1.6024,-0.10742
0.05,-0.15462,-1.7389,-0.099802
0.06,-0.17503,-1.6586,-0.14078
0.07,-0.19647,-1.6216,-0.17207
0.08,-0.21706,-1.732,-0.17036
0.09,-0.23663,-1.6307,-0.21451
0.1,-0.25643,-1.6485,-0.2313
0.11,-0.27589,-1.6993,-0.24175
0.12,-0.29724,-1.6029,-0.28578
0.13,-0.31614,-1.6665,-0.29162
0.14,-0.33505,-1.6684,-0.31164
0.15,-0.35395,-1.6102,-0.34428
0.16,-0.37419,-1.679,-0.3505
0.17,-0.39231,-1.6675,-0.37274
0.18,-0.41011,-1.626,-0.40032
0.19,-0.4279,-1.674,-0.40833
0.2,-0.44686,-1.6536,-0.43296
0.21,-0.46409,-1.6343,-0.4552
0.22,-0.48094,-1.6648,-0.46582
0.23,-0.49756,-1.6525,-0.48594
0.24,-0.51438,-1.6437,-0.50529
0.25,-0.53109,-1.6475,-0.52175
0.26,-0.54666,-1.635,-0.54043
0.27,-0.562,-1.6278,-0.55778
0.28,-0.57754,-1.6276,-0.57373
0.29,-0.59281,-1.6157,-0.59153
0.3,-0.60676,-1.5931,-0.61049
0.31,-0.6205,-1.5802,-0.62672
0.32,-0.63479,-1.5554,-0.64579
0.33,-0.64807,-1.53,-0.66409
0.34,-0.66031,-1.5125,-0.67943
0.35,-0.67254,-1.4765,-0.69811
0.36,-0.6841,-1.445,-0.71546
0.37,-0.69633,-1.4166,-0.73197
0.38,-0.70729,-1.3851,-0.74743
0.39,-0.71757,-1.357,-0.76161
0.4,-0.72758,-1.3305,-0.77451
0.41,-0.73792,-1.285,-0.79186
0.42,-0.74682,-1.252,-0.80487
0.43,-0.75538,-1.2145,-0.81821
0.44,-0.76328,-1.179,-0.83044
0.45,-0.77167,-1.1374,-0.84334
0.46,-0.77862,-1.1005,-0.85418
0.47,-0.78529,-1.0651,-0.86386
0.48,-0.79102,-1.0232,-0.87448
0.49,-0.79702,-0.98157,-0.88414
0.5,-0.80231,-0.93625,-0.89405
0.51,-0.80687,-0.889,-0.90383
0.52,-0.81076,-0.84875,-0.91084
0.53,-0.81462,-0.80557,-0.91788
0.54,-0.81771,-0.76425,-0.92368
0.55,-0.81999,-0.715,-0.93097
0.56,-0.82205,-0.67312,-0.93558
0.57,-0.82352,-0.625,-0.94062
0.58,-0.82466,-0.575,-0.9452
0.59,-0.8251,-0.53267,-0.94802
0.6,-0.8251,-0.489,-0.95054
0.61,-0.8251,-0.4425,-0.95332
0.62,-0.82505,-0.39825,-0.95482
0.63,-0.82449,-0.35562,-0.95626
0.64,-0.82394,-0.31813,-0.95626
0.65,-0.82338,-0.284,-0.9556
0.66,-0.82232,-0.23375,-0.9571
0.67,-0.82155,-0.199,-0.9561
0.68,-0.82043,-0.1605,-0.95576
0.69,-0.81888,-0.121,-0.95499
0.7,-0.81749,-0.08375,-0.9531
0.71,-0.81582,-0.051875,-0.95059
0.72,-0.81415,-0.022626,-0.94737
0.73,-0.81204,0.017376,-0.9467
0.74,-0.81011,0.057717,-0.94514
0.75,-0.80776,0.10325,-0.94464
0.76,-0.80509,0.143,-0.94298
0.77,-0.80275,0.1555,-0.93541
0.78,-0.79981,0.16629,-0.92677
0.79,-0.79691,0.20775,-0.92546
0.8,-0.79408,0.25038,-0.92418
0.81,-0.79091,0.2775,-0.91946
0.82,-0.78761,0.30643,-0.91457
0.83,-0.78374,0.342,-0.9114
0.84,-0.78029,0.36375,-0.90506
0.85,-0.77662,0.3885,-0.89961
0.86,-0.77295,0.41025,-0.89349
0.87,-0.76823,0.43113,-0.88626
0.88,-0.76417,0.45163,-0.87959
0.89,-0.76,0.47287,-0.87348
0.9,-0.75572,0.49225,-0.86675
0.91,-0.75038,0.523,-0.86136
0.92,-0.74593,0.539,-0.85379
0.93,-0.74115,0.5625,-0.8479
0.94,-0.73614,0.582,-0.84156
0.95,-0.73047,0.60213,-0.83344
0.96,-0.72519,0.62088,-0.82649
0.97,-0.7198,0.63412,-0.81804
0.98,-0.71424,0.65187,-0.81104
0.99,-0.70844,0.67314,-0.80388
1,-0.70256,0.69675,-0.79708
1.01,-0.69656,0.713,-0.78952
1.02,-0.69055,0.72425,-0.78085
1.03,-0.68417,0.73514,-0.77109
1.04,-0.6776,0.75175,-0.763
1.05,-0.67143,0.76925,-0.75555
1.06,-0.66492,0.777,-0.74615
1.07,-0.65805,0.792,-0.73741
1.08,-0.65119,0.811,-0.72992
1.09,-0.64407,0.81625,-0.71991
1.1,-0.6374,0.829,-0.71124
1.11,-0.63039,0.83725,-0.70189
1.12,-0.62244,0.84525,-0.69127
1.13,-0.61521,0.8555,-0.68243
1.14,-0.60799,0.86425,-0.67326
1.15,-0.60076,0.86887,-0.66336
1.16,-0.59236,0.8835,-0.6543
1.17,-0.58491,0.8845,-0.64318
1.18,-0.57713,0.89375,-0.6344
1.19,-0.56934,0.899,-0.6245
1.2,-0.56078,0.90225,-0.61299
1.21,-0.55272,0.90413,-0.60243
1.22,-0.54477,0.90425,-0.59181
1.23,-0.53648,0.9075,-0.5813
1.24,-0.52798,0.914,-0.57182
1.25,-0.51941,0.9195,-0.56167
1.26,-0.51108,0.925,-0.552
1.27,-0.50262,0.92225,-0.54065
1.28,-0.49347,0.91957,-0.5288
1.29,-0.48478,0.92138,-0.51819
1.3,-0.47599,0.92663,-0.50902
1.31,-0.46748,0.92475,-0.49784
1.32,-0.45795,0.92457,-0.48648
1.33,-0.44925,0.931,-0.47727
1.34,-0.44035,0.92725,-0.46615
1.35,-0.43146,0.93,-0.45636
1.36,-0.42256,0.92975,-0.44591
1.37,-0.41233,0.93012,-0.43446
1.38,-0.40343,0.93063,-0.42428
1.39,-0.39426,0.93063,-0.414
1.4,-0.3852,0.92838,-0.4036
1.41,-0.3753,0.93275,-0.39309
1.42,-0.36607,0.9275,-0.38186
1.43,-0.35684,0.93125,-0.37263
1.44,-0.34739,0.931,-0.36251
1.45,-0.33744,0.92775,-0.35056
1.46,-0.32798,0.92525,-0.33999
1.47,-0.31892,0.92162,-0.32937
1.48,-0.30953,0.92412,-0.31976
1.49,-0.29967,0.92629,-0.3099
1.5,-0.28968,0.922,-0.29857
1.51,-0.28022,0.924,-0.28912
1.52,-0.27122,0.91925,-0.27811
1.53,-0.26122,0.91243,-0.26643
1.54,-0.25137,0.91425,-0.25659
1.55,-0.24192,0.918,-0.24786
1.56,-0.23246,0.91212,-0.23663
1.57,-0.22234,0.91329,-0.22647
1.58,-0.21306,0.913,-0.21662
1.59,-0.20361,0.9085,-0.20628
1.6,-0.19416,0.908,-0.19638
1.61,-0.1847,0.90375,-0.18615
1.62,-0.17475,0.90037,-0.17525
1.63,-0.1653,0.90113,-0.16585
1.64,-0.15585,0.89925,-0.15612
1.65,-0.14678,0.9,-0.14723
1.66,-0.13655,0.9025,-0.13733
1.67,-0.12744,0.893,-0.12632
1.68,-0.11832,0.89475,-0.11765
1.69,-0.10898,0.895,-0.10853
1.7,-0.09919,0.89238,-0.098078
1.71,-0.090294,0.88675,-0.087792
1.72,-0.081009,0.88162,-0.077951
1.73,-0.072057,0.8875,-0.070223
1.74,-0.06278,0.89886,-0.063861
1.75,-0.05371,0.89175,-0.053042
1.76,-0.044925,0.882,-0.042256
1.77,-0.036029,0.87125,-0.031024
1.78,-0.026878,0.86386,-0.020524
1.79,-0.017792,0.86263,-0.011843
1.8,-0.0093963,0.86312,-0.0034471
1.81,-0.0010565,0.85663,0.0060603
1.82,0.0081969,0.85171,0.015631
1.83,0.016902,0.852,0.023574
1.84,0.024798,0.8425,0.033471
1.85,0.033138,0.8345,0.043146
1.86,0.041144,0.831,0.051486
1.87,0.050151,0.82412,0.06116
1.88,0.057935,0.82313,0.068499
1.89,0.065719,0.81875,0.076839
1.9,0.073503,0.81362,0.085013
1.91,0.082066,0.8125,0.093297
1.92,0.08985,0.8,0.10275
1.93,0.0973,0.80025,0.10953
1.94,0.10453,0.794,0.11743
1.95,0.11248,0.78875,0.12599
1.96,0.11971,0.785,0.13322
