0,0
0.01,0.033799
0.02,0.066999
0.03,0.099607
0.04,0.13163
0.05,0.16306
0.06,0.19392
0.07,0.2242
0.08,0.25391
0.09,0.28306
0.1,0.31165
0.11,0.33968
0.12,0.36716
0.13,0.3941
0.14,0.42049
0.15,0.44635
0.16,0.47167
0.17,0.49647
0.18,0.52074
0.19,0.5445
0.2,0.56774
0.21,0.59047
0.22,0.6127
0.23,0.63443
0.24,0.65566
0.25,0.67641
0.26,0.69667
0.27,0.71644
0.28,0.73575
0.29,0.75458
0.3,0.77294
0.31,0.79084
0.32,0.80829
0.33,0.82528
0.34,0.84182
0.35,0.85792
0.36,0.87358
0.37,0.88881
0.38,0.90361
0.39,0.91798
0.4,0.93194
0.41,0.94547
0.42,0.9586
0.43,0.97132
0.44,0.98364
0.45,0.99557
0.46,1.0071
0.47,1.0182
0.48,1.029
0.49,1.0394
0.5,1.0494
0.51,1.059
0.52,1.0683
0.53,1.0772
0.54,1.0858
0.55,1.094
0.56,1.1019
0.57,1.1094
0.58,1.1166
0.59,1.1235
0.6,1.13
0.61,1.1362
0.62,1.1421
0.63,1.1477
0.64,1.153
0.65,1.158
0.66,1.1626
0.67,1.167
0.68,1.1711
0.69,1.1749
0.7,1.1785
0.71,1.1817
0.72,1.1847
0.73,1.1874
0.74,1.1899
0.75,1.1921
0.76,1.194
0.77,1.1957
0.78,1.1972
0.79,1.1984
0.8,1.1994
0.81,1.2002
0.82,1.2007
0.83,1.201
0.84,1.2011
0.85,1.2002
0.86,1.1976
0.87,1.1932
0.88,1.1871
0.89,1.1794
0.9,1.1701
0.91,1.1593
0.92,1.147
0.93,1.1332
0.94,1.1179
0.95,1.1013
0.96,1.0834
0.97,1.0642
0.98,1.0437
0.99,1.022
1,0.99918
1.01,0.97522
1.02,0.95018
1.03,0.92411
1.04,0.89705
1.05,0.86905
1.06,0.84014
1.07,0.81037
1.08,0.77979
1.09,0.74843
1.1,0.71633
1.11,0.68355
1.12,0.65013
1.13,0.6161
1.14,0.58151
1.15,0.54641
1.16,0.51083
1.17,0.47482
